id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,basement,showers,electricity,school_1mi
29,20150302T000000,719000.0,4.0,2.5,2570.0,7173,2.0,0.0,0.0,3.0,8.0,2570.0,?,2005.0,0.0,98052.0,47.7073,-122.11,2630.0,6026.0,0.0,3.0,1.0,1.0
30,20141110T000000,580500.0,3.0,2.5,2320.0,3980,2.0,0.0,0.0,?,8.0,2320.0,?,2003.0,0.0,98027.0,47.5391,-122.07,2580.0,3980.0,0.0,2.0,1.0,1.0
31,20141201T000000,280000.0,2.0,1.5,1190.0,1265,3.0,0.0,0.0,?,7.0,1190.0,?,2005.0,0.0,98133.0,47.7274,-122.35700000000001,1390.0,1756.0,0.0,1.0,1.0,1.0
32,20140624T000000,687500.0,4.0,1.75,2330.0,5000,1.5,0.0,0.0,4.0,7.0,1510.0,820,1929.0,0.0,98117.0,47.6823,-122.368,1460.0,5000.0,1.0,2.0,1.0,1.0
33,20141110T000000,535000.0,3.0,1.0,1090.0,3000,1.5,0.0,0.0,4.0,8.0,1090.0,?,1929.0,0.0,98117.0,47.6889,-122.375,1570.0,5080.0,0.0,1.0,1.0,1.0
34,20141203T000000,322500.0,4.0,2.75,2060.0,6659,1.0,0.0,0.0,3.0,7.0,1280.0,780,1981.0,0.0,98058.0,47.4276,-122.15700000000001,2020.0,8720.0,1.0,3.0,1.0,?
35,20140613T000000,696000.0,3.0,2.5,2300.0,3060,1.5,0.0,0.0,?,8.0,1510.0,790,1930.0,2002.0,98115.0,47.6827,-122.31,1590.0,3264.0,1.0,3.0,1.0,1.0
36,20140528T000000,550000.0,4.0,1.0,1660.0,34848,1.0,0.0,0.0,1.0,5.0,930.0,730,1933.0,0.0,98052.0,47.6621,-122.132,2160.0,11467.0,1.0,1.0,1.0,?
37,20141230T000000,640000.0,4.0,2.0,2360.0,6000,2.0,0.0,0.0,4.0,8.0,2360.0,?,1904.0,0.0,98107.0,47.6702,-122.36200000000001,1730.0,4700.0,0.0,2.0,1.0,1.0
38,20150213T000000,240000.0,4.0,1.0,1220.0,8075,1.0,0.0,0.0,2.0,7.0,890.0,330,1969.0,0.0,98001.0,47.3341,-122.28200000000001,1290.0,7800.0,1.0,1.0,1.0,1.0
39,20140620T000000,605000.0,4.0,2.5,2620.0,7553,2.0,0.0,0.0,?,8.0,2620.0,?,1996.0,0.0,98056.0,47.5301,-122.18,2620.0,11884.0,0.0,3.0,1.0,1.0
40,20140715T000000,625000.0,4.0,2.5,2570.0,5520,2.0,0.0,0.0,?,9.0,2570.0,?,2000.0,0.0,98074.0,47.6145,-122.027,2470.0,5669.0,0.0,3.0,1.0,1.0
41,20140811T000000,775000.0,4.0,2.25,4220.0,24186,1.0,0.0,0.0,3.0,8.0,2600.0,1620,1984.0,0.0,98166.0,47.445,-122.34700000000001,2410.0,30617.0,1.0,2.0,1.0,1.0
42,20140707T000000,861990.0,5.0,2.75,3595.0,5639,2.0,0.0,0.0,3.0,9.0,3595.0,?,2014.0,0.0,98053.0,47.6848,-122.016,3625.0,5639.0,0.0,3.0,1.0,?
43,20141028T000000,685000.0,3.0,1.0,1570.0,2280,2.0,0.0,0.0,3.0,7.0,1570.0,?,1922.0,0.0,98119.0,47.6413,-122.36399999999999,1580.0,2640.0,0.0,1.0,1.0,1.0
44,20140729T000000,309000.0,3.0,1.0,1280.0,9656,1.0,0.0,0.0,4.0,6.0,920.0,360,1959.0,0.0,98058.0,47.4485,-122.175,1340.0,8808.0,1.0,1.0,1.0,1.0
45,20140718T000000,488000.0,3.0,2.5,3160.0,13603,2.0,0.0,0.0,3.0,8.0,3160.0,?,2003.0,0.0,98019.0,47.7443,-121.977,3050.0,9232.0,0.0,3.0,1.0,1.0
46,20150325T000000,210490.0,3.0,1.0,990.0,8528,1.0,0.0,0.0,?,6.0,990.0,?,1966.0,0.0,98023.0,47.3066,-122.37100000000001,1228.0,8840.0,0.0,1.0,1.0,?
47,20140716T000000,785000.0,4.0,2.5,2290.0,13416,2.0,0.0,0.0,4.0,9.0,2290.0,?,1981.0,0.0,98007.0,47.6194,-122.15100000000001,2680.0,13685.0,0.0,3.0,1.0,1.0
48,20150428T000000,450000.0,3.0,1.75,1250.0,5963,1.0,0.0,0.0,4.0,7.0,1250.0,?,1953.0,0.0,98115.0,47.6796,-122.301,970.0,5100.0,0.0,2.0,1.0,1.0
49,20150311T000000,1350000.0,3.0,2.5,2753.0,65005,1.0,1.0,2.0,5.0,9.0,2165.0,588,1953.0,0.0,98070.0,47.4041,-122.45100000000001,2680.0,72513.0,1.0,3.0,1.0,1.0
50,20140916T000000,228000.0,3.0,1.0,1190.0,9199,1.0,0.0,0.0,?,7.0,1190.0,?,1955.0,0.0,98148.0,47.4258,-122.322,1190.0,9364.0,0.0,1.0,1.0,?
51,20150217T000000,345000.0,5.0,2.5,3150.0,9134,1.0,0.0,0.0,4.0,8.0,1640.0,1510,1966.0,0.0,98056.0,47.4934,-122.189,1990.0,9133.0,1.0,3.0,1.0,1.0
52,20141231T000000,600000.0,3.0,1.75,1410.0,4080,1.0,0.0,0.0,4.0,7.0,1000.0,410,1950.0,0.0,98117.0,47.6808,-122.384,1410.0,4080.0,1.0,2.0,1.0,1.0
53,20150205T000000,585000.0,2.0,1.75,1980.0,8550,1.0,0.0,0.0,3.0,7.0,990.0,990,1981.0,0.0,98117.0,47.6989,-122.369,1480.0,6738.0,1.0,2.0,1.0,1.0
54,20150303T000000,920000.0,5.0,2.25,2730.0,6000,1.5,0.0,0.0,3.0,8.0,2130.0,600,1927.0,0.0,98105.0,47.6571,-122.281,2730.0,6000.0,1.0,2.0,1.0,1.0
55,20140512T000000,885000.0,4.0,2.5,2830.0,5000,2.0,0.0,0.0,3.0,9.0,2830.0,?,1995.0,0.0,98105.0,47.6597,-122.29,1950.0,5000.0,0.0,2.0,1.0,1.0
56,20140819T000000,292500.0,4.0,2.5,2250.0,4495,2.0,0.0,0.0,3.0,7.0,2250.0,?,2008.0,0.0,98042.0,47.3663,-122.11399999999999,2250.0,4500.0,0.0,2.0,1.0,1.0
57,20150407T000000,301000.0,3.0,2.5,2420.0,4750,2.0,0.0,0.0,?,8.0,2420.0,?,2003.0,0.0,98042.0,47.3663,-122.12200000000001,2690.0,4750.0,0.0,3.0,1.0,1.0
58,20140827T000000,951000.0,5.0,3.25,3250.0,14342,2.0,0.0,4.0,4.0,8.0,3250.0,?,1968.0,0.0,98008.0,47.588,-122.116,2960.0,11044.0,0.0,3.0,1.0,1.0
59,20150223T000000,430000.0,4.0,3.0,1850.0,9976,2.0,0.0,0.0,?,8.0,1850.0,?,1991.0,0.0,98059.0,47.5059,-122.149,2270.0,8542.0,0.0,3.0,1.0,1.0
60,20141210T000000,650000.0,3.0,2.25,2150.0,21235,1.0,0.0,3.0,4.0,8.0,1590.0,560,1959.0,0.0,98166.0,47.4336,-122.339,2570.0,18900.0,1.0,2.0,1.0,1.0
61,20140828T000000,289000.0,3.0,1.75,1260.0,8400,1.0,0.0,0.0,3.0,7.0,1260.0,?,1954.0,0.0,98148.0,47.4366,-122.335,1290.0,8750.0,0.0,2.0,1.0,1.0
62,20141021T000000,505000.0,3.0,1.75,2519.0,8690,2.0,0.0,0.0,5.0,8.0,2519.0,?,1973.0,0.0,98166.0,47.4428,-122.344,2500.0,9500.0,0.0,2.0,1.0,1.0
63,20141207T000000,549000.0,3.0,1.75,1540.0,1044,3.0,0.0,0.0,?,8.0,1540.0,?,2014.0,0.0,98115.0,47.6765,-122.32,1580.0,3090.0,0.0,2.0,1.0,1.0
64,20140603T000000,425000.0,3.0,2.25,1660.0,6000,1.0,0.0,0.0,?,7.0,1110.0,550,1979.0,0.0,98122.0,47.6113,-122.29700000000001,1440.0,4080.0,1.0,2.0,1.0,1.0
65,20141120T000000,317625.0,3.0,2.75,2770.0,3809,1.5,0.0,0.0,5.0,7.0,1770.0,1000,1925.0,0.0,98144.0,47.5747,-122.304,1440.0,4000.0,1.0,3.0,1.0,1.0
66,20140909T000000,975000.0,4.0,2.5,2720.0,11049,2.0,0.0,0.0,?,10.0,2720.0,?,1989.0,0.0,98004.0,47.5815,-122.19200000000001,2750.0,11049.0,0.0,2.0,1.0,?
67,20141009T000000,287000.0,4.0,2.5,2240.0,4648,2.0,0.0,0.0,3.0,7.0,2240.0,?,2005.0,0.0,98001.0,47.3378,-122.257,2221.0,4557.0,0.0,3.0,1.0,?
68,20140825T000000,204000.0,3.0,1.0,1000.0,12070,1.0,0.0,0.0,4.0,7.0,1000.0,?,1968.0,0.0,98042.0,47.3621,-122.11,1010.0,12635.0,0.0,1.0,1.0,1.0
69,20140612T000000,1325000.0,5.0,2.25,3200.0,20158,1.0,0.0,0.0,?,8.0,1600.0,1600,1965.0,0.0,98004.0,47.6303,-122.215,3390.0,20158.0,1.0,2.0,1.0,1.0
70,20140912T000000,1040000.0,5.0,3.25,4770.0,50094,1.0,0.0,0.0,4.0,11.0,3070.0,1700,1973.0,0.0,98005.0,47.6525,-122.16,3530.0,38917.0,1.0,3.0,1.0,1.0
71,20150105T000000,325000.0,3.0,2.0,1260.0,5612,1.0,0.0,0.0,4.0,7.0,1260.0,?,1972.0,0.0,98034.0,47.7362,-122.179,1640.0,4745.0,0.0,2.0,1.0,1.0
72,20140610T000000,571000.0,4.0,2.0,2750.0,7807,1.5,0.0,0.0,5.0,7.0,2250.0,500,1916.0,0.0,98125.0,47.7168,-122.287,1510.0,7807.0,1.0,2.0,1.0,1.0
73,20140710T000000,360000.0,4.0,2.5,2380.0,5000,2.0,0.0,0.0,?,8.0,2380.0,?,2005.0,0.0,98038.0,47.3608,-122.036,2420.0,5000.0,0.0,2.0,1.0,1.0
74,20150316T000000,349000.0,3.0,1.75,1790.0,50529,1.0,0.0,0.0,5.0,7.0,1090.0,700,1965.0,0.0,98042.0,47.3511,-122.073,1940.0,50529.0,1.0,2.0,1.0,1.0
75,20141105T000000,832500.0,4.0,4.0,3430.0,35102,2.0,0.0,0.0,4.0,10.0,2390.0,1040,1986.0,0.0,98075.0,47.5822,-121.98700000000001,3240.0,35020.0,1.0,4.0,1.0,1.0
76,20141013T000000,380000.0,4.0,1.75,1760.0,7300,1.0,0.0,0.0,?,7.0,880.0,880,1956.0,0.0,98008.0,47.6034,-122.125,1680.0,7500.0,1.0,2.0,1.0,1.0
77,20150420T000000,480000.0,3.0,1.0,1040.0,5060,1.0,0.0,0.0,3.0,7.0,1040.0,?,1941.0,0.0,98116.0,47.5636,-122.39399999999999,890.0,5060.0,0.0,1.0,1.0,1.0
78,20140609T000000,410000.0,3.0,1.0,1410.0,5060,1.0,0.0,0.0,4.0,7.0,910.0,500,1956.0,0.0,98133.0,47.7073,-122.34,1130.0,5693.0,1.0,1.0,1.0,1.0
79,20150323T000000,720000.0,4.0,2.5,3450.0,39683,2.0,0.0,0.0,?,10.0,3450.0,?,2002.0,0.0,98010.0,47.342,-122.025,3350.0,39750.0,0.0,3.0,1.0,1.0
80,20141202T000000,390000.0,3.0,2.5,2350.0,5100,2.0,0.0,0.0,3.0,8.0,2350.0,?,2003.0,0.0,98038.0,47.3512,-122.008,2350.0,5363.0,0.0,3.0,1.0,1.0
81,20141222T000000,360000.0,4.0,2.5,1900.0,5889,2.0,0.0,0.0,3.0,7.0,1900.0,?,1992.0,0.0,98038.0,47.349,-122.031,1870.0,6405.0,0.0,3.0,1.0,1.0
82,20141028T000000,355000.0,2.0,1.0,2020.0,6720,1.0,0.0,0.0,?,7.0,1010.0,1010,1948.0,0.0,98118.0,47.5474,-122.291,1720.0,6720.0,1.0,1.0,1.0,1.0
83,20150128T000000,356000.0,3.0,1.5,1680.0,8712,1.0,0.0,0.0,3.0,8.0,1680.0,?,1964.0,0.0,98059.0,47.4811,-122.149,1850.0,8797.0,0.0,1.0,1.0,1.0
84,20140602T000000,315000.0,3.0,1.0,960.0,6634,1.0,0.0,0.0,3.0,6.0,960.0,?,1952.0,0.0,98125.0,47.7264,-122.31,1570.0,7203.0,0.0,1.0,1.0,1.0
85,20141114T000000,940000.0,3.0,1.5,2140.0,3600,2.0,0.0,0.0,?,9.0,1900.0,240,1925.0,0.0,98119.0,47.6337,-122.365,2020.0,4800.0,1.0,1.0,1.0,1.0
86,20141103T000000,305000.0,5.0,2.25,2660.0,8400,1.5,0.0,0.0,5.0,7.0,2660.0,?,1961.0,0.0,98092.0,47.2909,-122.189,1590.0,8165.0,0.0,2.0,1.0,1.0
87,20140618T000000,461000.0,3.0,3.25,2770.0,6278,2.0,0.0,0.0,3.0,9.0,1980.0,790,2006.0,0.0,98056.0,47.5228,-122.199,1900.0,7349.0,1.0,3.0,1.0,1.0
88,20140519T000000,215000.0,2.0,2.25,1610.0,2040,2.0,0.0,0.0,4.0,7.0,1610.0,?,1979.0,0.0,98056.0,47.518,-122.194,1950.0,2025.0,0.0,2.0,1.0,1.0
89,20140904T000000,335000.0,2.0,1.75,1030.0,1066,2.0,0.0,0.0,?,7.0,765.0,265,2006.0,0.0,98136.0,47.5394,-122.387,1030.0,1106.0,1.0,2.0,1.0,1.0
90,20140522T000000,243500.0,4.0,2.5,1980.0,7403,2.0,0.0,0.0,?,7.0,1980.0,?,1988.0,0.0,98023.0,47.2897,-122.37200000000001,1980.0,7510.0,0.0,3.0,1.0,1.0
91,20150311T000000,1099880.0,5.0,2.75,3520.0,6353,2.0,0.0,0.0,4.0,10.0,3520.0,?,2001.0,0.0,98199.0,47.6506,-122.391,2520.0,6250.0,0.0,3.0,1.0,1.0
92,20150226T000000,153000.0,3.0,1.0,1200.0,10500,1.0,0.0,0.0,?,7.0,1200.0,?,1962.0,0.0,98023.0,47.321999999999996,-122.351,1350.0,10500.0,0.0,1.0,1.0,1.0
93,20140725T000000,430000.0,3.0,1.5,1580.0,5000,1.0,0.0,0.0,3.0,8.0,1290.0,290,1939.0,0.0,98117.0,47.687,-122.38600000000001,1570.0,4500.0,1.0,2.0,1.0,1.0
94,20141223T000000,700000.0,3.0,1.5,1580.0,5000,1.0,0.0,0.0,?,8.0,1290.0,290,1939.0,0.0,98117.0,47.687,-122.38600000000001,1570.0,4500.0,1.0,2.0,1.0,1.0
95,20140908T000000,905000.0,4.0,2.5,3300.0,10250,1.0,0.0,0.0,3.0,7.0,2390.0,910,1946.0,1991.0,98040.0,47.5873,-122.249,1950.0,6045.0,1.0,2.0,1.0,?
96,20150330T000000,247500.0,3.0,1.75,1960.0,15681,1.0,0.0,0.0,?,7.0,1960.0,?,1967.0,0.0,98032.0,47.3576,-122.277,1750.0,15616.0,0.0,2.0,1.0,1.0
97,20140912T000000,199000.0,4.0,1.5,1160.0,6400,1.0,0.0,0.0,4.0,7.0,1160.0,?,1975.0,0.0,98023.0,47.3036,-122.37799999999999,1160.0,6400.0,0.0,2.0,1.0,1.0
98,20140711T000000,314000.0,3.0,1.75,1810.0,41800,1.0,0.0,0.0,5.0,7.0,1210.0,600,1980.0,0.0,98038.0,47.4109,-121.958,1650.0,135036.0,1.0,2.0,1.0,1.0
99,20140516T000000,437500.0,3.0,2.5,2320.0,36847,2.0,0.0,2.0,3.0,9.0,2320.0,?,1992.0,0.0,98045.0,47.4838,-121.714,2550.0,35065.0,0.0,3.0,1.0,1.0
100,20140611T000000,850830.0,3.0,2.5,2070.0,13241,1.5,0.0,0.0,5.0,9.0,1270.0,800,1910.0,0.0,98102.0,47.6415,-122.315,2200.0,4500.0,1.0,2.0,1.0,1.0
101,20141027T000000,555000.0,3.0,2.0,1980.0,3478,1.5,0.0,0.0,4.0,7.0,1440.0,540,1929.0,0.0,98117.0,47.6775,-122.37200000000001,1610.0,3478.0,1.0,2.0,1.0,1.0
102,20141212T000000,699950.0,3.0,2.25,2190.0,107593,2.0,0.0,0.0,4.0,8.0,2190.0,?,1983.0,0.0,98077.0,47.7731,-122.08,2570.0,47777.0,0.0,2.0,1.0,1.0
103,20141007T000000,1088000.0,3.0,2.5,2920.0,8113,2.0,0.0,0.0,3.0,8.0,2920.0,?,1950.0,2010.0,98004.0,47.5814,-122.196,2370.0,8113.0,0.0,3.0,1.0,1.0
104,20140924T000000,290000.0,3.0,1.0,1210.0,33919,1.0,0.0,0.0,?,7.0,1210.0,?,1954.0,0.0,98058.0,47.4375,-122.184,1640.0,14910.0,0.0,1.0,1.0,1.0
105,20150402T000000,375000.0,3.0,2.5,2340.0,10005,1.0,0.0,0.0,4.0,8.0,1460.0,880,1978.0,0.0,98058.0,47.4431,-122.133,2250.0,8162.0,1.0,2.0,1.0,1.0
106,20140523T000000,460000.0,3.0,1.0,1670.0,4005,1.5,0.0,0.0,4.0,7.0,1170.0,500,1939.0,0.0,98117.0,47.6878,-122.38,1240.0,4005.0,1.0,1.0,1.0,1.0
107,20140723T000000,188500.0,2.0,1.75,1240.0,2493,1.0,0.0,0.0,4.0,8.0,1240.0,?,1985.0,0.0,98198.0,47.3813,-122.322,1270.0,4966.0,0.0,2.0,1.0,1.0
108,20150305T000000,680000.0,4.0,2.5,3140.0,28037,2.0,0.0,0.0,4.0,10.0,3140.0,?,1991.0,0.0,98077.0,47.7304,-122.08200000000001,2990.0,35001.0,0.0,2.0,1.0,?
109,20140827T000000,470000.0,5.0,1.75,2030.0,12342,2.0,0.0,0.0,4.0,7.0,2030.0,?,1942.0,0.0,98052.0,47.6417,-122.109,2500.0,9433.0,0.0,2.0,1.0,1.0
110,20140725T000000,597750.0,4.0,2.5,2310.0,9624,2.0,0.0,0.0,3.0,8.0,2310.0,?,1984.0,0.0,98027.0,47.5386,-122.053,1940.0,9636.0,0.0,3.0,1.0,?
111,20150304T000000,570000.0,3.0,1.75,1260.0,3328,1.0,0.0,0.0,5.0,6.0,700.0,560,1905.0,0.0,98103.0,47.6823,-122.34899999999999,1380.0,3536.0,1.0,2.0,1.0,1.0
112,20140916T000000,272500.0,3.0,1.75,1540.0,12600,1.0,0.0,0.0,4.0,7.0,1160.0,380,1980.0,0.0,98038.0,47.3624,-122.031,1540.0,11656.0,1.0,2.0,1.0,1.0
113,20141124T000000,329950.0,3.0,1.75,2080.0,5969,1.0,0.0,2.0,?,7.0,1080.0,1000,1971.0,0.0,98108.0,47.5474,-122.295,2090.0,5500.0,1.0,2.0,1.0,1.0
114,20141028T000000,480000.0,4.0,2.5,3230.0,16171,2.0,0.0,3.0,3.0,9.0,2520.0,710,2001.0,0.0,98001.0,47.3183,-122.25299999999999,2640.0,8517.0,1.0,3.0,1.0,1.0
115,20141121T000000,740500.0,3.0,3.5,4380.0,6350,2.0,0.0,0.0,3.0,8.0,2780.0,1600,1900.0,1999.0,98117.0,47.6981,-122.368,1830.0,6350.0,1.0,4.0,1.0,1.0
116,20140626T000000,518500.0,3.0,3.5,1590.0,1102,3.0,0.0,0.0,3.0,8.0,1590.0,?,2010.0,0.0,98103.0,47.6824,-122.34700000000001,1620.0,3166.0,0.0,4.0,1.0,1.0
117,20140623T000000,205425.0,2.0,1.0,880.0,6780,1.0,0.0,0.0,4.0,6.0,880.0,?,1945.0,0.0,98178.0,47.5009,-122.24799999999999,1190.0,6780.0,0.0,1.0,1.0,1.0
118,20150108T000000,171800.0,4.0,2.0,1570.0,9600,1.0,0.0,0.0,?,6.0,1570.0,?,1950.0,0.0,98168.0,47.4965,-122.303,1880.0,9000.0,0.0,2.0,1.0,?
119,20150511T000000,535000.0,4.0,1.0,1610.0,2982,1.5,0.0,0.0,4.0,7.0,1610.0,?,1925.0,0.0,98144.0,47.586999999999996,-122.294,1610.0,4040.0,0.0,1.0,1.0,1.0
120,20150102T000000,660000.0,3.0,2.5,2400.0,6474,1.0,0.0,2.0,?,8.0,1560.0,840,1964.0,0.0,98177.0,47.7728,-122.38600000000001,2340.0,10856.0,1.0,3.0,1.0,1.0
121,20141119T000000,391500.0,3.0,2.0,1450.0,9132,1.0,0.0,0.0,3.0,7.0,1450.0,?,1987.0,0.0,98034.0,47.7288,-122.226,1580.0,9104.0,0.0,2.0,1.0,?
122,20150406T000000,395000.0,2.0,1.0,770.0,6000,1.0,0.0,0.0,?,6.0,770.0,?,1953.0,0.0,98117.0,47.6999,-122.36399999999999,1710.0,6000.0,0.0,1.0,1.0,1.0
123,20141104T000000,445000.0,4.0,1.75,2100.0,4400,1.5,0.0,0.0,5.0,7.0,1720.0,380,1924.0,0.0,98118.0,47.5299,-122.266,1850.0,4400.0,1.0,2.0,1.0,1.0
124,20140618T000000,770000.0,3.0,2.25,2910.0,10204,2.0,0.0,0.0,?,9.0,2910.0,?,1990.0,0.0,98052.0,47.6897,-122.098,2700.0,13992.0,0.0,2.0,1.0,1.0
125,20150302T000000,1450000.0,4.0,2.75,2750.0,17789,1.5,0.0,0.0,3.0,8.0,1980.0,770,1914.0,1992.0,98004.0,47.6141,-122.212,3060.0,11275.0,1.0,3.0,1.0,1.0
126,20140717T000000,445000.0,3.0,2.25,2100.0,8201,1.0,0.0,2.0,3.0,8.0,1620.0,480,1967.0,0.0,98178.0,47.5091,-122.244,2660.0,8712.0,1.0,2.0,1.0,?
127,20140717T000000,260000.0,4.0,2.25,2160.0,8811,1.0,0.0,0.0,3.0,8.0,1360.0,800,1978.0,0.0,98023.0,47.3129,-122.39,2090.0,8400.0,1.0,2.0,1.0,1.0
